,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
95,5034,Kusama,KSM,kusama,150,2019-12-12T00:00:00.000Z,"['substrate', 'polkadot-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'vbc-ventures-portfolio']",,8470098.05726206,9651217.45126206,,96,8597992.0,366958735.32073265,,2022-10-10T14:32:00.000Z,42.67958557308877,17432540.87222974,91.8056,-0.14941396,-0.77354825,1.33418711,-17.8965093,-32.61336991,-10.1426213,361500274.847369,0.0386,411909961.1,,2022-10-10T14:32:00.000Z,,,,,,2022-10-10 14:34:42.627507
96,2083,Bitcoin Gold,BTG,bitcoin-gold,67,2017-10-23T00:00:00.000Z,"['mineable', 'medium-of-exchange', 'payments']",21000000.0,17513923.589,17513923.589,,97,,,,2022-10-10T14:32:00.000Z,20.528771938122205,16542619.02498195,-65.5574,-0.17154089,-3.79557535,2.14291572,-21.20677044,-35.79173336,36.9123797,359539343.10027975,0.0383,431104210.7,,2022-10-10T14:32:00.000Z,,,,,,2022-10-10 14:34:42.627507
97,2682,Holo,HOT,holo,129,2018-04-29T00:00:00.000Z,"['platform', 'distributed-computing', 'filesharing', 'storage']",,173342974126.73712,177619433541.14133,,98,,,,2022-10-10T14:32:00.000Z,0.002044811601995284,20486349.3126254,63.0074,1.38651067,1.70577739,1.73407245,-5.77443632,-21.73292374,4.97458967,354453724.6187204,0.0378,363198278.44,,2022-10-10T14:32:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6c6ee5e31d828de241282b9606c8e98ea48526e2,2022-10-10 14:34:42.627507
98,8104,1inch Network,1INCH,1inch,274,2020-12-25T00:00:00.000Z,"['decentralized-exchange', 'defi', 'amm', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'dragonfly-capital-portfolio', 'fabric-ventures-portfolio', 'alameda-research-portfolio', 'parafi-capital', 'spartan-group', 'bnb-chain']",,583869616.1225374,1500000000.0,,99,583869616.1225374,347842762.0671021,,2022-10-10T14:32:00.000Z,0.595754176038679,29389580.87362527,-2.5939,-0.72655307,-0.9951012,4.60528845,-9.33123941,-32.33548245,2.66888485,347842762.0671021,0.0371,893631264.06,,2022-10-10T14:32:00.000Z,1027.0,Ethereum,ETH,ethereum,0x111111111117dc0aa78b770fa6a738034120c302,2022-10-10 14:34:42.627507
99,13855,Ethereum Name Service,ENS,ethereum-name-service,135,2021-11-09T01:31:29.000Z,"['dao', 'governance', 'web3']",100000000.0,20244862.09054775,100000000.0,,100,,,,2022-10-10T14:32:00.000Z,16.925330143212072,79245812.67231266,14.9514,-2.14070451,-3.46061151,10.06097479,9.6848564,4.46497465,98.6368412,342650974.5863192,0.0365,1692533014.32,,2022-10-10T14:32:00.000Z,1027.0,Ethereum,ETH,ethereum,0xC18360217D8F7Ab5e7c516566761Ea12Ce7F9D72,2022-10-10 14:34:42.627507
0,1,Bitcoin,BTC,bitcoin,9768,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio']",21000000.0,19175243.0,19175243.0,,1,,,,2022-10-10T14:33:00.000Z,19363.75242100995,22074941671.079838,33.3658,-0.10558374,-0.66521577,-0.27505536,-8.92547451,-21.55817717,-2.27837811,371304658064.7041,39.5852,406638800841.21,,2022-10-10T14:33:00.000Z,,,,,,2022-10-10 14:35:43.379574
1,1027,Ethereum,ETH,ethereum,6132,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem']",,122735495.499,122735495.499,,2,,,,2022-10-10T14:33:00.000Z,1314.9932446391836,7556739248.638322,35.1139,-0.0125003,-0.68252336,-0.17490517,-23.5589664,-31.11090493,22.83270265,161396347458.62793,17.2089,161396347458.63,,2022-10-10T14:33:00.000Z,,,,,,2022-10-10 14:35:43.379574
2,825,Tether,USDT,tether,40638,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin']",,68371859091.288185,70146125804.4731,,3,,,,2022-10-10T14:33:00.000Z,1.0000633151448204,30454809129.99326,34.5038,-0.00259174,-0.00718721,0.00424333,-0.02678849,-0.03321288,0.0802629,68376188065.44819,7.2897,70150567116.59,,2022-10-10T14:33:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2022-10-10 14:35:43.379574
3,3408,USD Coin,USDC,usd-coin,6466,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,46062456901.28931,46062456901.28931,,4,,,,2022-10-10T14:33:00.000Z,1.0000718257934926,2785206170.40737,13.8448,0.01523873,0.00190424,0.00439519,0.01540624,0.01333176,-0.02905249,46065765373.806465,4.91,46065765373.81,,2022-10-10T14:33:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2022-10-10 14:35:43.379574
4,1839,BNB,BNB,bnb,1123,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'moonriver-ecosystem', 'bnb-chain']",200000000.0,161337261.09,161337261.09,,5,,,,2022-10-10T14:33:00.000Z,275.3278965787468,641754170.1071539,6.6131,-0.02699734,-0.9799103,-4.19897439,-5.92893029,-16.70995492,21.98006211,44420648735.68579,4.7346,55065579315.75,,2022-10-10T14:33:00.000Z,,,,,,2022-10-10 14:35:43.379574
